Indicador;Data;Media;Mediana;DesvioPadrao;Minimo;Maximo
IGP-DI;2020-08-26;5,27;5,06;1,56;2,53;8,16
IGP-DI;2020-08-26;4,62;4,71;1,05;2,26;6,12
IGP-DI;2020-08-27;5,4;5,61;1,53;2,53;8,16
IGP-DI;2020-08-27;4,58;4,66;1,02;2,25;6,03
IGP-DI;2020-08-28;5,81;5,64;1,89;3,43;11,59
IGP-DI;2020-08-28;4,87;4,63;1,49;2,85;9,73
IGP-DI;2020-08-31;5,86;5,76;1,93;3,43;11,59
IGP-DI;2020-08-31;4,78;4,55;1,46;2,62;9,49
IGP-DI;2020-09-01;5,7;5,68;2,02;2,43;11,59
IGP-DI;2020-09-01;4,62;4,39;1,5;2,51;9,41
IGP-DI;2020-09-02;5,7;5,68;2,02;2,43;11,59
IGP-DI;2020-09-02;4,57;4,34;1,48;2,47;9,33
IGP-DI;2020-09-03;6,08;5,94;2,22;2,43;11,59
IGP-DI;2020-09-03;4,8;4,52;1,54;2,4;9,25
IGP-DI;2020-09-04;6,39;6,14;2,22;2,43;11,59
IGP-DI;2020-09-04;4,93;4,64;1,55;2,52;9,17
IGP-DI;2020-09-08;4,92;4,76;1,51;2,53;8,93
IGP-DI;2020-09-08;4,9;4,74;1,5;2,53;8,87
IGP-DI;2020-09-09;5,03;4,76;1,6;2,53;8,93
IGP-DI;2020-09-09;4,98;4,72;1,57;2,53;8,81
IGP-DI;2020-09-10;5,15;5,07;1,57;2,53;8,93
IGP-DI;2020-09-10;5,06;5,02;1,52;2,53;8,74
IGP-DI;2020-09-11;5,8;5,9;1,66;2,53;8,93
IGP-DI;2020-09-11;5,63;5,76;1,58;2,54;8,68
IGP-DI;2020-09-14;5,8;5,9;1,66;2,53;8,93
IGP-DI;2020-09-14;5,49;5,66;1,52;2,54;8,49
IGP-DI;2020-09-15;5,8;5,9;1,66;2,53;8,93
IGP-DI;2020-09-15;5,45;5,63;1,51;2,54;8,43
IGP-DI;2020-09-16;5,92;6,1;1,64;2,53;8,93
IGP-DI;2020-09-16;5,49;5,77;1,47;2,54;8,37
IGP-DI;2020-09-17;5,92;6,1;1,64;2,53;8,93
IGP-DI;2020-09-17;5,44;5,74;1,46;2,55;8,3
IGP-DI;2020-09-18;6,35;6,51;1,55;2,53;9,61
IGP-DI;2020-09-18;5,68;5,82;1,36;2,55;8,38
IGP-DI;2020-09-21;6,35;6,51;1,55;2,53;9,61
IGP-DI;2020-09-21;5,5;5,66;1,33;2,55;8,05
IGP-DI;2020-09-22;6,4;6,51;1,57;2,53;9,61
IGP-DI;2020-09-22;5,46;5,63;1,32;2,56;7,99
IGP-DI;2020-09-23;6,4;6,51;1,57;2,53;9,61
IGP-DI;2020-09-23;5,4;5,57;1,31;2,56;7,93
IGP-DI;2020-09-24;6,4;6,51;1,57;2,53;9,61
IGP-DI;2020-09-24;5,34;5,51;1,3;2,56;7,87
IGP-DI;2020-09-25;6,56;6,57;2,15;2,2;10,87
IGP-DI;2020-09-25;5,27;5,45;1,71;1,45;8,26
IGP-DI;2020-09-28;6,44;6,52;2,13;2,2;10,87
IGP-DI;2020-09-28;4,92;5,21;1,58;1,32;7,83
IGP-DI;2020-09-29;6,61;6,62;2,31;2,2;10,99
IGP-DI;2020-09-29;4,99;5,14;1,69;1,28;8,31
IGP-DI;2020-09-30;6,61;6,62;2,31;2,2;10,99
IGP-DI;2020-09-30;4,91;5,07;1,67;1,24;8,19
IGP-DI;2020-10-01;6,71;6,75;2,33;2,2;10,99
IGP-DI;2020-10-01;4,84;4,99;1,69;1,2;8,07
IGP-DI;2020-10-02;7,65;7,33;2,36;2,2;12,73
IGP-DI;2020-10-02;5,32;5,04;1,78;1,16;9,26
IGP-DI;2020-10-05;8,02;7,89;2,49;2,2;12,73
IGP-DI;2020-10-05;5,22;4,82;1,8;1,03;8,85
IGP-DI;2020-10-06;8,2;8,3;2,49;2,2;12,73
IGP-DI;2020-10-06;5,23;4,85;1,81;0,99;8,72
IGP-DI;2020-10-07;5,23;4,85;1,81;0,99;8,72
IGP-DI;2020-10-07;5,2;4,85;1,8;0,97;8,66
IGP-DI;2020-10-08;5,23;4,85;1,81;0,99;8,72
IGP-DI;2020-10-08;5,18;4,84;1,79;0,94;8,61
IGP-DI;2020-10-09;5,33;5,6;1,91;0,99;8,72
IGP-DI;2020-10-09;5,24;5,54;1,89;0,92;8,56
IGP-DI;2020-10-13;5,41;5,65;1,98;0,99;8,72
IGP-DI;2020-10-13;5,17;5,43;1,92;0,83;8,34
IGP-DI;2020-10-14;5,53;5,65;2,1;0,99;8,72
IGP-DI;2020-10-14;5,24;5,4;2;0,8;8,29
IGP-DI;2020-10-15;5,38;5,6;2,14;0,99;8,72
IGP-DI;2020-10-15;5,05;5,3;2,04;0,78;8,24
IGP-DI;2020-10-16;5,53;5,6;2,22;0,99;9,25
IGP-DI;2020-10-16;5,1;5,25;2,08;0,76;8,54
IGP-DI;2020-10-19;5,7;5,6;2,27;0,99;9,25
IGP-DI;2020-10-19;5,08;5,37;2,06;0,69;8,32
IGP-DI;2020-10-20;5,91;6,94;2,31;0,99;9,25
IGP-DI;2020-10-20;5,2;5,52;2,09;0,66;8,25
IGP-DI;2020-10-21;5,91;6,94;2,31;0,99;9,25
IGP-DI;2020-10-21;5,15;5,42;2,07;0,64;8,18
IGP-DI;2020-10-22;5,91;6,94;2,31;0,99;9,25
IGP-DI;2020-10-22;5,1;5,32;2,06;0,62;8,11
IGP-DI;2020-10-23;6,64;7,34;2,3;0,99;9,25
IGP-DI;2020-10-23;5,53;6,26;2,01;0,59;8,04
IGP-DI;2020-10-26;6,72;7,34;2,28;0,99;9,25
